Frequency,Offset,Tone,Call,Location,ST/PR,Use,Mode,Mi,Dir,Operational status
443.675,+5 MHz,D315 / D315,W4FTK,Clinton,SC,OPEN,FM AllStar EchoLink,2.79,NNE,ON-AIR
443.175,+5 MHz,146.2,KD4HLH,Laurens,SC,OPEN,FM,8.22,WNW,ON-AIR
146.865,-0.6 MHz,107.2,KD4HLH,Laurens,SC,OPEN,FM,15.27,WNW,ON-AIR
147.165,+0.6 MHz,107.2 / CSQ,W4GWD,Greenwood,SC,OPEN,FM EchoLink,18,WSW,ON-AIR
441.625,+5 MHz,91.5,WR4SC,Greenwood,SC,OPEN,FM,18.01,WSW,ON-AIR
443.8375,+5 MHz,CC1,WR4SC,Greenwood,SC,OPEN,DMR,18.01,WSW,ON-AIR
145.15,-0.6 MHz,CSQ / CSQ,K4USC,Union,SC,OPEN,FM,22.41,NE,Unknown status
442.1,+5 MHz,,K4USC,Union,SC,OPEN,FM,22.41,NE,OFF-AIR
146.685,-0.6 MHz,,K4USC,Union,SC,OPEN,FM,22.49,NE,Unknown status
145.42,-0.6 MHz,,W4GWM,"Greenwood, Self Regional",SC,OPEN,DSTAR,25.03,SW,ON-AIR
443.9,+5 MHz,107.2,W4GWD,Greenwood,SC,OPEN,FM,25.03,SW,ON-AIR
444.825,+5 MHz,162.2 / 162.2,KK4SM,"Greenwood, Tower",SC,OPEN,FM,25.03,SW,ON-AIR
442.6,+5 MHz,107.2 / 107.2,WJ4X,Donalds,SC,OPEN,FM EchoLink,25.64,WSW,OFF-AIR
146.73,-0.6 MHz,100,WA4UKX,Simpsonville,SC,OPEN,FM IRLP,28.45,NW,Unknown status
147.09,+0.6 MHz,162.2 / 162.2,WR4SC,"Spartanburg, Camp Croft",SC,OPEN,FM,28.99,N,ON-AIR
147.315,+0.6 MHz,123.0 / 123.0,K4JLA,Spartanburg,SC,OPEN,FM,28.99,N,ON-AIR
224.44,-1.6 MHz,,K4II,Spartanburg,SC,OPEN,FM,28.99,N,ON-AIR
442.075,+5 MHz,123,K4II,Spartanburg,SC,OPEN,FM,28.99,N,ON-AIR
443.775,+5 MHz,127.3 / 127.3,KJ4VLT,Honea Path,SC,OPEN,FM,29.49,W,ON-AIR
441.9,+5 MHz,100,AG4VT,Pacolet,SC,OPEN,FM,30.38,NNE,ON-AIR
444.075,+5 MHz,100.0 / 100.0,K4CDN,"Spartanburg, Spartanburg Downtown Airport",SC,OPEN,FM Fusion WIRES-X,31.42,N,ON-AIR
53.21,-1.0 MHz,88.5,KJ4MKV,Little Mountain,SC,OPEN,FM,32.42,SE,ON-AIR
147.21,+0.6 MHz,156.7 / 156.7,WR4SC,Little Mountain,SC,OPEN,FM,32.42,SE,ON-AIR
444.65,+5 MHz,CC0,N4UHF,Little Mountain,SC,PRIVATE,DMR,32.42,SE,ON-AIR
145.24,+0.6 MHz,,KJ4MKV,Little Mountain,SC,OPEN,DSTAR,32.74,SE,OFF-AIR
